mmsi;imo_nr;length;date_time_utc;lon;lat;sog;cog;true_heading;nav_status;message_nr
236002000;8214358;92;2018-01-01 16:03:13;9.75281;59.0179;9.2;315.7;321;0;3
236002000;8214358;92;2018-01-01 16:03:21;9.75242;59.0181;9.2;316.2;323;0;3
249772000;9150494;88;2018-01-01 18:23:15;9.77083;59.0099;9.9;311.1;310;0;1
249772000;9150494;88;2018-01-01 18:23:25;9.77016;59.0102;9.9;310.4;310;0;1
249772000;9150494;88;2018-01-01 18:23:36;9.76948;59.0105;9.9;309.9;310;0;1
249772000;9150494;88;2018-01-01 18:23:45;9.76873;59.0108;9.9;309.6;310;0;1
249772000;9150494;88;2018-01-01 18:23:56;9.76803;59.0111;9.9;309.0;310;0;1
249772000;9150494;88;2018-01-01 18:24:15;9.7667;59.0116;10.0;308.7;310;0;1
249772000;9150494;88;2018-01-01 18:24:26;9.76593;59.012;9.9;308.8;310;0;1
249772000;9150494;88;2018-01-01 18:24:35;9.7653;59.0122;9.9;309.0;311;0;1
249772000;9150494;88;2018-01-01 18:24:46;9.76456;59.0125;9.9;309.7;312;0;1
249772000;9150494;88;2018-01-01 18:24:57;9.76389;59.0128;9.9;310.4;312;0;1
249772000;9150494;88;2018-01-01 18:25:16;9.76263;59.0134;9.9;311.3;312;0;1
249772000;9150494;88;2018-01-01 18:25:25;9.7619;59.0137;9.9;311.0;312;0;1
249772000;9150494;88;2018-01-01 18:25:36;9.76128;59.014;9.9;311.2;312;0;1
249772000;9150494;88;2018-01-01 18:25:47;9.76056;59.0143;9.9;311.3;312;0;1
249772000;9150494;88;2018-01-01 18:25:56;9.7599;59.0146;9.9;311.4;312;0;1
249772000;9150494;88;2018-01-01 18:26:15;9.75864;59.0152;9.9;311.2;312;0;1
249772000;9150494;88;2018-01-01 18:26:26;9.7579;59.0155;9.9;310.9;312;0;1
249772000;9150494;88;2018-01-01 18:26:35;9.75729;59.0158;9.9;310.5;312;0;1
249772000;9150494;88;2018-01-01 18:26:46;9.75654;59.0161;9.9;309.7;315;0;3
249772000;9150494;88;2018-01-01 18:26:53;9.75613;59.0163;9.9;309.8;318;0;3
249772000;9150494;88;2018-01-01 18:27:00;9.75568;59.0165;9.8;311.1;321;0;3
249772000;9150494;88;2018-01-01 18:27:16;9.75475;59.017;9.7;319.8;326;0;3
249772000;9150494;88;2018-01-01 18:27:22;9.75439;59.0173;9.6;322.7;327;0;3
249772000;9150494;88;2018-01-01 18:27:36;9.75377;59.0178;9.6;326.0;327;0;1
250004022;9757084;87;2018-01-01 01:31:18;9.7525;59.0179;9.3;142.2;139;0;1
250004022;9757084;87;2018-01-01 01:31:27;9.75297;59.0176;9.3;141.6;138;0;1
250004022;9757084;87;2018-01-01 01:31:38;9.75362;59.0172;9.3;140.2;136;0;1
250004022;9757084;87;2018-01-01 01:31:49;9.75418;59.0169;9.3;137.9;135;0;1
250004022;9757084;87;2018-01-01 01:31:58;9.7547;59.0166;9.3;136.6;134;0;1
250004022;9757084;87;2018-01-01 01:32:08;9.75527;59.0163;9.3;136.2;132;0;1
250004022;9757084;87;2018-01-01 01:32:17;9.75587;59.016;9.3;134.8;131;0;1
250004022;9757084;87;2018-01-01 01:32:28;9.75642;59.0157;9.3;133.2;130;0;1
250004022;9757084;87;2018-01-01 01:32:39;9.75717;59.0154;9.3;131.7;130;0;1
250004022;9757084;87;2018-01-01 01:32:48;9.7578;59.0151;9.3;131.5;128;0;1
250004022;9757084;87;2018-01-01 01:32:59;9.75838;59.0149;9.3;130.2;127;0;1
250004022;9757084;87;2018-01-01 01:33:07;9.75897;59.0146;9.3;128.9;126;0;1
250004022;9757084;87;2018-01-01 01:33:18;9.7597;59.0144;9.3;127.4;126;0;1
250004022;9757084;87;2018-01-01 01:33:27;9.7603;59.0141;9.3;126.9;126;0;1
250004022;9757084;87;2018-01-01 01:33:38;9.76112;59.0138;9.3;126.5;126;0;1
250004022;9757084;87;2018-01-01 01:33:49;9.76178;59.0135;9.3;126.3;126;0;1
250004022;9757084;87;2018-01-01 01:33:58;9.76238;59.0133;9.3;126.4;126;0;1
250004022;9757084;87;2018-01-01 01:34:07;9.763;59.0131;9.3;126.3;126;0;1
250004022;9757084;87;2018-01-01 01:34:19;9.76373;59.0128;9.3;126.4;126;0;1
250004022;9757084;87;2018-01-01 01:34:27;9.76433;59.0126;9.3;126.5;126;0;1
250004022;9757084;87;2018-01-01 01:34:39;9.76513;59.0123;9.3;126.6;126;0;1
250004022;9757084;87;2018-01-01 01:34:48;9.76582;59.012;9.3;126.0;127;0;1
250004022;9757084;87;2018-01-01 01:34:58;9.76643;59.0118;9.3;126.3;129;0;1
250004022;9757084;87;2018-01-01 01:35:06;9.76702;59.0116;9.3;127.7;129;0;1
250004022;9757084;87;2018-01-01 01:35:18;9.76773;59.0112;9.3;129.1;130;0;1
250004022;9757084;87;2018-01-01 01:35:28;9.76832;59.011;9.3;129.5;130;0;1
250004022;9757084;87;2018-01-01 01:35:38;9.76902;59.0107;9.4;130.1;130;0;1
250004022;9757084;87;2018-01-01 01:35:49;9.76972;59.0104;9.4;130.1;130;0;1
250004022;9757084;87;2018-01-01 01:35:57;9.7703;59.0101;9.4;130.0;130;0;1
250004022;9757084;87;2018-01-01 01:36:07;9.77088;59.0099;9.4;129.7;130;0;1
250004022;9757084;87;2018-01-01 01:36:19;9.77158;59.0096;9.4;129.8;130;0;3
257082000;9279446;83;2018-01-01 11:48:38;9.75224;59.018;8.8;138.7;133;0;1
257082000;9279446;83;2018-01-01 11:48:47;9.75268;59.0177;8.8;137.3;132;0;1
257082000;9279446;83;2018-01-01 11:48:58;9.75331;59.0174;8.8;135.5;131;0;1
257082000;9279446;83;2018-01-01 11:49:06;9.75383;59.0172;8.8;134.3;129;0;1
257082000;9279446;83;2018-01-01 11:49:17;9.75443;59.0169;8.8;132.8;128;0;1
257082000;9279446;83;2018-01-01 11:49:26;9.75503;59.0166;8.8;131.1;127;0;1
257082000;9279446;83;2018-01-01 11:49:37;9.75575;59.0163;8.9;129.7;127;0;1
257082000;9279446;83;2018-01-01 11:49:47;9.75625;59.0161;8.8;129.0;126;0;1
257082000;9279446;83;2018-01-01 11:49:56;9.75688;59.0159;8.8;128.1;126;0;1
257082000;9279446;83;2018-01-01 11:50:07;9.75751;59.0156;8.8;127.2;126;0;1
257082000;9279446;83;2018-01-01 11:50:16;9.75815;59.0154;8.8;126.5;126;0;1
257082000;9279446;83;2018-01-01 11:50:27;9.75879;59.0151;8.8;126.0;126;0;1
257082000;9279446;83;2018-01-01 11:50:38;9.75955;59.0149;8.8;125.8;127;0;1
257082000;9279446;83;2018-01-01 11:50:46;9.76006;59.0147;8.8;126.1;127;0;1
257082000;9279446;83;2018-01-01 11:50:57;9.7607;59.0144;8.7;126.4;128;0;1
257082000;9279446;83;2018-01-01 11:51:06;9.76134;59.0142;8.7;127.0;128;0;1
257082000;9279446;83;2018-01-01 11:51:17;9.76197;59.0139;8.7;127.3;128;0;1
257082000;9279446;83;2018-01-01 11:51:28;9.76272;59.0136;8.7;127.6;128;0;1
257082000;9279446;83;2018-01-01 11:51:37;9.76334;59.0134;8.7;127.8;129;0;1
257082000;9279446;83;2018-01-01 11:51:47;9.76384;59.0132;8.7;127.8;130;0;1
257082000;9279446;83;2018-01-01 11:51:56;9.76443;59.0129;8.7;128.3;130;0;1
257082000;9279446;83;2018-01-01 11:52:07;9.76502;59.0127;8.6;129.0;131;0;1
257082000;9279446;83;2018-01-01 11:52:16;9.76557;59.0125;8.6;129.6;132;0;1
257082000;9279446;83;2018-01-01 11:52:27;9.76638;59.0121;8.6;130.7;132;0;1
257082000;9279446;83;2018-01-01 11:52:38;9.76692;59.0118;8.6;131.3;133;0;1
257082000;9279446;83;2018-01-01 11:52:46;9.76737;59.0116;8.6;131.6;133;0;1
257082000;9279446;83;2018-01-01 11:52:57;9.76794;59.0114;8.6;132.1;133;0;1
257082000;9279446;83;2018-01-01 11:53:06;9.76853;59.0111;8.7;132.9;133;0;1
257082000;9279446;83;2018-01-01 11:53:17;9.76922;59.0107;8.8;133.2;133;0;1
257082000;9279446;83;2018-01-01 11:53:28;9.76982;59.0105;8.9;132.8;133;0;1
257082000;9279446;83;2018-01-01 11:53:37;9.77043;59.0102;9.0;132.6;133;0;1
257082000;9279446;83;2018-01-01 11:53:47;9.77092;59.01;9.1;132.8;133;0;1
257082000;9279446;83;2018-01-01 11:53:56;9.77152;59.0097;9.2;133.0;133;0;1
257159000;8920282;101;2018-01-01 00:16:32;9.77151;59.0096;11.4;309.1;309;0;1
257159000;8920282;101;2018-01-01 00:16:41;9.77054;59.01;11.5;309.2;310;0;1
257159000;8920282;101;2018-01-01 00:16:52;9.76974;59.0103;11.5;309.6;310;0;1
257159000;8920282;101;2018-01-01 00:17:01;9.76894;59.0107;11.6;309.6;310;0;1
257159000;8920282;101;2018-01-01 00:17:11;9.7683;59.011;11.6;309.6;310;0;1
257159000;8920282;101;2018-01-01 00:17:22;9.7675;59.0113;11.6;309.4;310;0;1
257159000;8920282;101;2018-01-01 00:17:31;9.76671;59.0116;11.7;309.4;310;0;1
257159000;8920282;101;2018-01-01 00:17:41;9.76589;59.012;11.7;309.4;310;0;1
257159000;8920282;101;2018-01-01 00:17:51;9.76509;59.0123;11.7;309.4;310;0;1
257159000;8920282;101;2018-01-01 00:18:02;9.76411;59.0127;11.7;309.5;310;0;1
257159000;8920282;101;2018-01-01 00:18:10;9.76347;59.013;11.7;309.6;310;0;1
257159000;8920282;101;2018-01-01 00:18:21;9.76249;59.0134;11.7;309.6;310;0;1
257159000;8920282;101;2018-01-01 00:18:32;9.76189;59.0137;11.7;308.6;313;0;1
257159000;8920282;101;2018-01-01 00:18:40;9.76111;59.0141;11.7;310.9;313;0;1
257159000;8920282;101;2018-01-01 00:18:52;9.76021;59.0145;11.7;311.7;315;0;1
257159000;8920282;101;2018-01-01 00:19:02;9.75944;59.0149;11.7;313.2;315;0;1
257159000;8920282;101;2018-01-01 00:19:11;9.75886;59.0152;11.7;313.9;315;0;1
257159000;8920282;101;2018-01-01 00:19:22;9.75811;59.0156;11.7;314.3;315;0;1
257159000;8920282;101;2018-01-01 00:19:31;9.75738;59.016;11.6;314.5;315;0;1
257159000;8920282;101;2018-01-01 00:19:41;9.75668;59.0164;11.5;313.6;317;0;1
257159000;8920282;101;2018-01-01 00:19:53;9.75587;59.0168;11.3;315.4;319;0;1
257159000;8920282;101;2018-01-01 00:20:01;9.75522;59.0172;11.1;316.6;320;0;1
257159000;8920282;101;2018-01-01 00:20:10;9.75472;59.0175;11.0;318.2;320;0;1
257159000;8920282;101;2018-01-01 00:20:21;9.75395;59.018;10.9;318.8;320;0;1
375219000;6721151;55;2018-01-01 08:14:53;9.7535;59.0178;9.7;138.0;142;0;1
375219000;6721151;55;2018-01-01 08:15:02;9.75417;59.0175;9.7;138.0;141;0;1
375219000;6721151;55;2018-01-01 08:15:13;9.75467;59.0172;9.7;138.0;140;0;1
375219000;6721151;55;2018-01-01 08:15:24;9.75533;59.0168;9.7;137.0;139;0;1
375219000;6721151;55;2018-01-01 08:15:33;9.756;59.0165;9.7;136.0;138;0;1
