tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
15,501911,5/19/2015,3,0,OnCurb,Alive,Fair,Tilia cordata,littleleaf linden,3or4,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1246 SPOFFORD AVENUE,10474,Bronx,202,2,Bronx,17,84,32,BX27,Hunts Point,2009300,New York,40.81420253,-73.88856427,1015096.051,235932.6683,17,93,2006624,2027650201
16,501911,5/19/2015,4,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,3or4,None,NoDamage,TreesCount Staff,BranchOther,No,No,No,No,No,No,No,No,Yes,1260 SPOFFORD AVENUE,10474,Bronx,202,2,Bronx,17,84,32,BX27,Hunts Point,2009300,New York,40.81421249,-73.88849985,1015113.881,235936.3202,17,93,2006646,2027650258
17,501909,5/19/2015,2,0,OnCurb,Dead,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,1281 SPOFFORD AVENUE,10474,Bronx,202,2,Bronx,17,84,34,BX27,Hunts Point,2009300,New York,40.81438139,-73.88717028,1015481.832,235998.3283,17,93,2006536,2027630166
18,501909,5/19/2015,2,0,OnCurb,Alive,Poor,Tilia cordata,littleleaf linden,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1281 SPOFFORD AVENUE,10474,Bronx,202,2,Bronx,17,84,34,BX27,Hunts Point,2009300,New York,40.81439942,-73.88707508,1015508.176,236004.9329,17,93,2006536,2027630166
19,501909,5/19/2015,3,0,OnCurb,Alive,Poor,Tilia cordata,littleleaf linden,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1281 SPOFFORD AVENUE,10474,Bronx,202,2,Bronx,17,84,34,BX27,Hunts Point,2009300,New York,40.81441484,-73.88700724,1015526.947,236010.5743,17,93,2006536,2027630166
20,501909,5/19/2015,4,0,OnCurb,Alive,Poor,Tilia cordata,littleleaf linden,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1281 SPOFFORD AVENUE,10474,Bronx,202,2,Bronx,17,84,34,BX27,Hunts Point,2009300,New York,40.81442853,-73.88694702,1015543.611,236015.5818,17,93,2006536,2027630166
21,501909,5/19/2015,4,0,OnCurb,Alive,Fair,Tilia cordata,littleleaf linden,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1281 SPOFFORD AVENUE,10474,Bronx,202,2,Bronx,17,84,34,BX27,Hunts Point,2009300,New York,40.81444096,-73.88689233,1015558.742,236020.1294,17,93,2006536,2027630166
22,501909,5/19/2015,4,0,OnCurb,Alive,Poor,Tilia cordata,littleleaf linden,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1290 SPOFFORD AVENUE,10474,Bronx,202,2,Bronx,17,84,32,BX27,Hunts Point,2009300,New York,40.81446015,-73.88680788,1015582.11,236027.1517,17,93,2006680,2027660001
23,501909,5/19/2015,0,3,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,701 FAILE STREET,10474,Bronx,202,2,Bronx,17,84,32,BX27,Hunts Point,2009300,New York,40.81447558,-73.88672849,1015604.078,236032.8032,17,93,2006535,2027630162
26,501967,5/19/2015,14,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,Damage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,940 EAST 156 STREET,10455,Bronx,202,2,Bronx,17,84,32,BX33,Longwood,2008500,New York,40.8164493,-73.90031377,1011842.794,236747.3284,17,85,2005412,2027010001
27,501967,5/19/2015,3,0,OnCurb,Alive,Poor,Cercis canadensis,eastern redbud,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,940 EAST 156 STREET,10455,Bronx,202,2,Bronx,17,84,32,BX33,Longwood,2008500,New York,40.81649282,-73.90038638,1011822.677,236763.1614,17,85,2005412,2027010001
28,501967,5/19/2015,4,0,OnCurb,Alive,Fair,Cercis canadensis,eastern redbud,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,940 EAST 156 STREET,10455,Bronx,202,2,Bronx,17,84,32,BX33,Longwood,2008500,New York,40.81657952,-73.90053103,1011782.601,236794.7033,17,85,2005412,2027010001
29,501134,5/19/2015,7,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,809 EAST 156 STREET,10455,Bronx,201,2,Bronx,17,79,32,BX34,Melrose South-Mott Haven North,2007900,New York,40.81765893,-73.90372765,1010897.359,237186.9824,17,79,2004980,2026760019
30,501134,5/19/2015,8,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,805 EAST 156 STREET,10455,Bronx,201,2,Bronx,17,79,32,BX34,Melrose South-Mott Haven North,2007900,New York,40.81768279,-73.90384191,1010865.723,237195.6395,17,79,2004982,2026760021
31,501134,5/19/2015,7,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,803 EAST 156 STREET,10455,Bronx,201,2,Bronx,17,79,32,BX34,Melrose South-Mott Haven North,2007900,New York,40.81771493,-73.90399589,1010823.09,237207.3055,17,79,2004983,2026760022
32,501134,5/19/2015,8,0,OnCurb,Alive,Fair,Zelkova serrata,Japanese zelkova,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,803 EAST 156 STREET,10455,Bronx,201,2,Bronx,17,79,32,BX34,Melrose South-Mott Haven North,2007900,New York,40.81773923,-73.90411225,1010790.874,237216.1211,17,79,2004983,2026760022
33,501134,5/19/2015,7,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,800 EAST 156 STREET,10455,Bronx,201,2,Bronx,17,79,32,BX34,Melrose South-Mott Haven North,2007900,New York,40.81775872,-73.90420561,1010765.025,237223.1949,17,79,2004774,2026650056
34,501134,5/19/2015,5,0,OnCurb,Alive,Fair,Zelkova serrata,Japanese zelkova,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,800 EAST 156 STREET,10455,Bronx,201,2,Bronx,17,79,32,BX34,Melrose South-Mott Haven North,2007900,New York,40.81780498,-73.90442717,1010703.68,237239.981,17,79,2004774,2026650056
35,501134,5/19/2015,6,0,OnCurb,Alive,Fair,Zelkova serrata,Japanese zelkova,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,762 WESTCHESTER AVENUE,10455,Bronx,201,2,Bronx,17,79,32,BX34,Melrose South-Mott Haven North,2007900,New York,40.81785131,-73.90464908,1010642.239,237256.7936,17,79,2097788,2026760002
36,501134,5/19/2015,5,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,762 WESTCHESTER AVENUE,10455,Bronx,201,2,Bronx,17,79,32,BX34,Melrose South-Mott Haven North,2007900,New York,40.81787,-73.90473861,1010617.45,237263.5767,17,79,2097788,2026760002
37,501966,5/19/2015,5,0,OnCurb,Alive,Good,Acer rubrum,red maple,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,922 LEGGETT AVENUE,10455,Bronx,202,2,Bronx,17,84,32,BX33,Longwood,2008500,New York,40.81604564,-73.90049915,1011791.647,236600.2011,17,83,2005135,2026860041
